<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,D,20101224,000000,0.25,0.25,0.242,0.248,0,0
BTC.V,D,20101225,000000,0.248,0.25,0.2475,0.2499,0,0
BTC.V,D,20101226,000000,0.2499,0.27,0.2464,0.265,0,0
BTC.V,D,20101227,000000,0.265,0.27,0.251,0.265,0,0
BTC.V,D,20101228,000000,0.265,0.281,0.2612,0.281,0,0
BTC.V,D,20101229,000000,0.281,0.301,0.271,0.3,0,0
BTC.V,D,20101230,000000,0.3,0.3,0.291,0.3,0,0
BTC.V,D,20101231,000000,0.3,0.3,0.292,0.3,0,0
BTC.V,D,20110101,000000,0.3,0.3,0.292,0.3,0,0
BTC.V,D,20110102,000000,0.3,0.3,0.289,0.3,0,0
BTC.V,D,20110103,000000,0.3,0.3,0.29,0.295,0,0
BTC.V,D,20110104,000000,0.295,0.2999,0.289,0.2989,0,0
BTC.V,D,20110105,000000,0.2989,0.299,0.29,0.299,0,0
BTC.V,D,20110106,000000,0.299,0.299,0.29,0.298,0,0
BTC.V,D,20110107,000000,0.298,0.322,0.2975,0.32,0,0
BTC.V,D,20110108,000000,0.32,0.3229,0.309,0.3229,0,0
BTC.V,D,20110109,000000,0.3229,0.323,0.3229,0.323,0,0
BTC.V,D,20110110,000000,0.323,0.329,0.3175,0.3266,0,0
BTC.V,D,20110111,000000,0.3266,0.3266,0.3176,0.3266,0,0
BTC.V,D,20110112,000000,0.3266,0.3557,0.318,0.3188,0,0
